ts,arm,locked_by,running_count
2026-09-09T09:17:52Z,r3,worker-b1d2e797e924-1788945333677,7
2026-09-09T09:17:54Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:54Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:17:54Z,r3,worker-b1d2e797e924-1788945333677,7
2026-09-09T09:17:55Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:55Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:17:55Z,r3,worker-b1d2e797e924-1788945333677,6
2026-09-09T09:17:57Z,r3,worker-3eef91eb3ced-1788945333410,7
2026-09-09T09:17:57Z,r3,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:17:57Z,r3,worker-b1d2e797e924-1788945333677,7
2026-09-09T09:17:58Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:58Z,r3,worker-4eaf28e97fd2-1788944974367,6
2026-09-09T09:17:58Z,r3,worker-b1d2e797e924-1788945333677,7
2026-09-09T09:18:00Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:18:00Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:18:00Z,r3,worker-b1d2e797e924-1788945333677,7
2026-09-09T09:18:02Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:18:02Z,r3,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:18:02Z,r3,worker-b1d2e797e924-1788945333677,7
2026-09-09T09:18:03Z,r3,worker-3eef91eb3ced-1788945333410,7
2026-09-09T09:18:03Z,r3,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:18:03Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:18:05Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:18:05Z,r3,worker-4eaf28e97fd2-1788944974367,6
2026-09-09T09:18:05Z,r3,worker-b1d2e797e924-1788945333677,6
2026-09-09T09:18:06Z,r3,worker-3eef91eb3ced-1788945333410,6
2026-09-09T09:18:06Z,r3,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:18:06Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:18:08Z,r3,worker-3eef91eb3ced-1788945333410,7
2026-09-09T09:18:08Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:18:08Z,r3,worker-b1d2e797e924-1788945333677,7
2026-09-09T09:18:09Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:18:09Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:18:09Z,r3,worker-b1d2e797e924-1788945333677,7
2026-09-09T09:18:11Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:18:11Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:18:11Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:18:12Z,r3,worker-3eef91eb3ced-1788945333410,7
2026-09-09T09:18:12Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:18:12Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:18:14Z,r3,worker-3eef91eb3ced-1788945333410,7
2026-09-09T09:18:14Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:18:14Z,r3,worker-b1d2e797e924-1788945333677,7
2026-09-09T09:18:16Z,r3,worker-3eef91eb3ced-1788945333410,7
2026-09-09T09:18:16Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:18:16Z,r3,worker-b1d2e797e924-1788945333677,7
2026-09-09T09:18:17Z,r3,worker-3eef91eb3ced-1788945333410,7
2026-09-09T09:18:17Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:18:17Z,r3,worker-b1d2e797e924-1788945333677,9
2026-09-09T09:18:19Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:18:19Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:18:19Z,r3,worker-b1d2e797e924-1788945333677,5
2026-09-09T09:18:20Z,r3,worker-3eef91eb3ced-1788945333410,7
2026-09-09T09:18:20Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:18:20Z,r3,worker-b1d2e797e924-1788945333677,7
2026-09-09T09:18:22Z,r3,worker-3eef91eb3ced-1788945333410,6
2026-09-09T09:18:22Z,r3,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:18:22Z,r3,worker-b1d2e797e924-1788945333677,6
2026-09-09T09:18:23Z,r3,worker-3eef91eb3ced-1788945333410,6
2026-09-09T09:18:23Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:18:23Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:18:25Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:18:25Z,r3,worker-4eaf28e97fd2-1788944974367,4
2026-09-09T09:18:25Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:18:26Z,r3,worker-3eef91eb3ced-1788945333410,6
2026-09-09T09:18:26Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:18:26Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:18:28Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:18:28Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:18:28Z,r3,worker-b1d2e797e924-1788945333677,6
2026-09-09T09:18:29Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:18:29Z,r3,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:18:29Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:18:31Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:18:31Z,r3,worker-4eaf28e97fd2-1788944974367,6
2026-09-09T09:18:31Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:18:33Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:18:33Z,r3,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:18:33Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:18:34Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:18:34Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:18:34Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:18:36Z,r3,worker-3eef91eb3ced-1788945333410,7
2026-09-09T09:18:36Z,r3,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:18:36Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:18:37Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:18:37Z,r3,worker-4eaf28e97fd2-1788944974367,6
2026-09-09T09:18:37Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:18:39Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:18:39Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:18:39Z,r3,worker-b1d2e797e924-1788945333677,7
2026-09-09T09:18:40Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:18:40Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:18:40Z,r3,worker-b1d2e797e924-1788945333677,6
2026-09-09T09:18:42Z,r3,worker-3eef91eb3ced-1788945333410,5
2026-09-09T09:18:42Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:18:42Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:18:43Z,r3,worker-3eef91eb3ced-1788945333410,7
2026-09-09T09:18:43Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:18:43Z,r3,worker-b1d2e797e924-1788945333677,6
2026-09-09T09:18:45Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:18:45Z,r3,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:18:45Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:18:47Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:18:47Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:18:47Z,r3,worker-b1d2e797e924-1788945333677,5
2026-09-09T09:18:48Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:18:48Z,r3,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:18:48Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:18:50Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:18:50Z,r3,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:18:50Z,r3,worker-b1d2e797e924-1788945333677,6
2026-09-09T09:18:51Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:18:51Z,r3,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:18:51Z,r3,worker-b1d2e797e924-1788945333677,7
2026-09-09T09:18:53Z,r3,worker-3eef91eb3ced-1788945333410,7
2026-09-09T09:18:53Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:18:53Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:18:54Z,r3,worker-3eef91eb3ced-1788945333410,5
2026-09-09T09:18:54Z,r3,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:18:54Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:18:56Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:18:56Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:18:56Z,r3,worker-b1d2e797e924-1788945333677,7
2026-09-09T09:18:57Z,r3,worker-3eef91eb3ced-1788945333410,7
2026-09-09T09:18:57Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:18:57Z,r3,worker-b1d2e797e924-1788945333677,7
2026-09-09T09:18:59Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:18:59Z,r3,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:18:59Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:19:01Z,r3,worker-3eef91eb3ced-1788945333410,7
